Price,Close,High,Low,Open,Volume,SMA_5,SMA_10
2023-08-18,172.9935760498047,173.59834528388794,170.48527458580276,170.82235510894964,61114200,174.88124389648436,175.83955841064454
2023-08-21,174.33200073242188,174.61952217759173,172.25001931121287,173.56861510861043,46311900,174.1634521484375,175.56505126953124
2023-08-22,175.71005249023438,176.15619021692956,174.73846130997606,175.541512243613,42084200,174.1198272705078,175.33429107666015
2023-08-23,179.5667266845703,179.99304691061286,176.80066012445005,176.98903312238062,52722800,175.02202758789062,175.6486038208008
2023-08-24,174.86737060546875,179.54689311295104,174.50053343712446,179.12057292485625,54945800,175.4939453125,175.51476287841797
2023-08-25,177.0782470703125,177.6136093916348,174.31218067560857,175.85879974601767,51449600,176.31087951660157,175.59606170654297
2023-08-28,178.6446990966797,179.04126265908485,177.0187642861302,178.5455506421133,43820700,177.1734191894531,175.6684356689453
2023-08-29,182.5409698486328,183.31427930675537,177.9605961154563,178.1588778766287,53003900,178.53960266113282,176.3297149658203
2023-08-30,186.0406951904297,186.23899207960088,183.15566303930453,183.35394480054703,60813900,179.8343963623047,177.42821197509767
2023-08-31,186.25880432128903,187.49808420340318,185.87214960318659,186.22906281435257,60794500,182.11268310546876,178.80331420898438
2023-09-01,187.83518981933597,188.2912363685708,186.66530168187228,187.86493132785435,45732600,184.26407165527343,180.2874755859375
2023-09-05,188.07313537597656,188.35073289401015,186.00106278496517,186.66531506939765,45280000,186.1497589111328,181.66158905029297
2023-09-06,181.34136962890625,187.23043067946264,179.91371663144653,186.7842777718091,81755800,185.9098388671875,182.22472076416017
2023-09-07,176.03724670410156,176.6816813943478,172.05171790486162,173.67765269377628,112488800,183.90914916992188,181.87177276611328
2023-09-08,176.65191650390625,178.69426259870855,176.26526175899272,176.82047189213844,65551300,181.9877716064453,182.05022735595702
2023-09-11,177.82179260253906,178.75373349578624,175.8191120741523,178.52571023294755,58953100,179.98509216308594,182.12458190917968
2023-09-12,174.7880401611328,178.58519559094336,173.32073699502078,177.95068488711692,90370200,177.32807312011718,181.738916015625
2023-09-13,172.71597290039062,175.77946927367296,172.48793449989455,174.99623588192003,84267900,175.60299377441407,180.75641632080078
2023-09-14,174.2328338623047,174.5897470555056,172.09135470309917,172.507750907179,60895800,175.2421112060547,179.57563018798828
2023-09-15,173.5091094970703,174.98633670911127,172.32932763975032,174.9665039932106,109205100,174.6135498046875,178.3006607055664
2023-09-18,176.4437255859375,177.84163701778533,174.65915940995401,174.9664984209427,67257600,174.3379364013672,177.16151428222656
2023-09-19,177.53428649902344,178.08948146713516,175.6109216966876,175.99757641576028,51826900,174.8871856689453,176.10762939453124
2023-09-20,173.9849853515625,178.158871491594,173.8957457034938,177.72264255589144,58436200,175.1409881591797,175.3719909667969
2023-09-21,172.43836975097656,174.78805492740332,172.3689779372214,173.0530629204369,63047900,174.78209533691407,175.01210327148436
2023-09-22,173.2909698486328,175.56133895987557,172.5573258740407,173.17200382635897,56725400,174.73846740722655,174.67600860595704
2023-09-25,174.56993103027344,175.4522977411563,172.65647493916612,172.70604916227998,46172700,174.36370849609375,174.35082244873047
2023-09-26,170.4852752685547,173.69747930093746,170.1878450472042,173.32074847329434,64588900,172.95390625,173.92054595947266
2023-09-27,168.96839904785156,171.55601650720317,167.60024410157126,171.1396202080804,66921800,171.95058898925782,173.54578857421876
2023-09-28,169.22616577148438,170.55467030699108,166.18248681585104,167.88773731405627,56294400,171.3081481933594,173.0451217651367
2023-09-29,169.74171447753906,171.58576377459906,168.87916528625075,170.5447655196905,51814200,170.59829711914062,172.6683822631836
2023-10-02,172.25991821289062,172.8052044328195,169.46409530048962,169.75161672914737,52164500,170.13629455566405,172.2500015258789
2023-10-03,170.92147827148438,172.14094058886474,169.35504178574476,170.78267952738358,49594600,170.22353515625,171.588720703125
2023-10-04,172.1707000732422,172.71598631340495,169.5037670214799,169.62273306372262,53020300,170.86399536132814,171.40729217529298
2023-10-05,173.40997314453125,173.94533544106068,171.19908676207933,172.29956799243436,48527900,171.7007568359375,171.50445251464845
2023-10-06,175.9678497314453,176.46356172729125,171.69479961979252,172.30949278163357,57224100,172.94598388671875,171.7721405029297
2023-10-09,177.45498657226562,177.51446959158443,174.2923416030924,175.29367439346143,42390800,173.98499755859376,172.0606460571289
2023-10-10,176.86012268066406,178.17871838563994,176.42389371024447,176.57261638357625,43698000,175.1727264404297,172.69813079833983
2023-10-11,178.25804138183594,178.30761560829964,176.07691156880261,176.6717569025772,47551100,176.39019470214845,173.6270950317383
2023-10-12,179.1602325439453,180.77624333047942,177.50454119898205,178.52572180730996,56743100,177.54024658203124,174.62050170898436
2023-10-13,177.3162078857422,180.36978082784793,176.61229011230088,179.86415997848457,51427100,177.80991821289064,175.3779510498047
2023-10-16,177.18728637695312,177.5441995976702,174.99623283045386,175.23418002024147,52517000,177.75637817382812,175.87068786621094
2023-10-17,175.63075256347656,176.88986525789463,173.3009152798367,175.1350405719026,57549400,177.51050415039063,176.34161529541015
2023-10-18,174.33200073242188,176.0570840196497,173.60826541418712,174.07423592634754,54764400,176.7252960205078,176.55774536132813
2023-10-19,173.9552459716797,176.31482459139443,173.68755728005698,174.53025852712355,59302900,175.68429870605468,176.61227264404297
2023-10-20,171.3973846435547,173.91559492791032,171.15943743932888,173.80653768363138,64189300,174.5005340576172,176.1552261352539
2023-10-23,171.51634216308594,172.51767489960218,168.4726633962427,169.4442697526279,55980100,173.36634521484376,175.56136169433594
2023-10-24,171.95257568359375,172.18059896074934,169.97963653831403,171.56592094062157,43816600,172.63070983886718,175.07060699462892
2023-10-25,169.6326446533203,171.57582713235345,169.1864917714858,170.40595412753765,57157000,171.6908386230469,174.20806732177735
2023-10-26,165.458740234375,169.91023915738614,164.24920182104776,168.9088912991807,70625300,169.99153747558594,172.83791809082032
2023-10-27,166.77735900878906,167.5110182699133,165.39928015046561,165.47859589177074,58499100,169.06753234863282,171.784033203125
2023-10-30,168.82957458496094,169.70203248533966,167.42175441803172,167.57047708446643,51131000,168.53017883300782,170.9482620239258
2023-10-31,169.3054656982422,169.43434051981868,166.4600687836398,167.89764555846892,44846000,168.0007568359375,170.31573333740235
2023-11-01,172.47801208496094,172.73577684542204,168.6610241296242,169.5334819772275,56934900,168.56983032226563,170.13033447265624
2023-11-02,176.04718017578125,176.2553707597914,173.95527477340474,174.01475779740764,77334800,170.68751831054686,170.33952789306642
2023-11-03,175.13504028320312,175.30359567263832,171.8633532465518,172.74571998498175,79763700,172.3590545654297,170.71329345703126
2023-11-06,177.69290161132812,177.8911833660216,174.69881232122145,174.86735256910734,63841300,174.13171997070313,171.33094940185546
2023-11-07,180.26071166992188,180.87538968418906,177.4351473327296,177.64333789269085,70530000,176.32276916503906,172.1617630004883
2023-11-08,181.321533203125,181.87672821790486,180.03267898856913,180.78617090399572,49340300,178.0914733886719,173.33065185546874
2023-11-09,180.8456573486328,182.54098393459674,180.2507968912838,181.39094357988108,53763500,179.0511688232422,174.86934356689454
2023-11-10,185.04489135742188,185.2136688107188,182.19576071339824,182.63256439705196,66133400,181.03313903808595,176.69609680175782
2023-11-13,183.4565277099609,184.67758150620577,182.87082057942214,184.46911666550656,43627500,182.1858642578125,178.1587921142578
2023-11-14,186.07733154296875,186.74245888927783,184.94561983989882,186.33543591459554,60108400,183.34918823242188,179.83597869873046
2023-11-15,186.64317321777344,188.12234646111898,186.41484954526325,186.48434792046902,53790500,184.41351623535155,181.25249481201172
2023-11-16,188.33084106445312,189.57175373642215,187.2785343944212,188.191859451107,54412900,185.91055297851562,182.4808609008789
2023-11-17,188.3109893798828,188.99597562451044,187.19913643084107,188.8669158544037,50922700,186.56377258300782,183.79845581054687
2023-11-20,190.05816650390625,190.51482899547432,188.49958819031184,188.50951003765908,46505100,187.88410034179688,185.03498229980468
2023-11-21,189.25405883789065,190.12766614172318,188.36060783923182,190.0184652287441,38134500,188.51944580078126,185.93431701660157
2023-11-22,189.919189453125,191.52740733771327,189.4426832554431,190.09788874466753,39617700,189.17464904785157,186.79408264160156
2023-11-24,188.5889434814453,189.51217522879531,187.87417657801197,189.48239453680722,24048300,189.22626953125,187.56841125488282
2023-11-27,188.4102325439453,189.28383984926063,187.52670339120002,188.53929229982836,40552600,189.2461181640625,187.90494537353516
2023-11-28,189.01580810546875,189.690872461515,188.02307798905798,188.4003202806091,38415400,189.037646484375,188.46087341308595
2023-11-29,187.99331665039065,190.69354405683197,187.596230622092,189.51219267303125,43014200,188.785498046875,188.65247192382813
2023-11-30,188.5691070556641,188.9364275469523,186.82190727725418,188.4599061227721,48794400,188.51548156738284,188.84506530761718
2023-12-01,189.84971618652344,190.16738195236098,187.85431892352926,188.94632812953898,45679300,188.76763610839845,188.99695281982423
2023-12-04,188.0528564453125,188.66835941071503,186.08725507958516,188.59886103241988,43389500,188.6961608886719,188.97113952636718
2023-12-05,192.0138702392578,192.98674157750665,188.79741899208386,188.82721483361496,66628400,189.2957733154297,189.16670989990234
2023-12-06,190.9218597412109,193.3441084564195,190.71337975554792,193.03636454966008,41089700,189.88148193359376,189.33348999023437
2023-12-07,192.85769653320312,193.58238532404093,192.18263213313443,192.22234982318224,47477700,190.73919982910155,189.6273406982422
